,Sunday,Unnamed: 1
0,Breakfast (8:00-8:30AM),Brown bread (3 slices) + Milk n Banana shake (1 cup) + 4 Almonds + 3 Cashew nuts
1,Mid-Meal (11:00-11:30AM),1 Orange + Grapes (1 cup)
2,Lunch (2:00-2:30PM),Parboiled Rice (1 cup) + Masoor Daal (1/2 cup) + Fried Joseph's coat leaves (1/4th cup) + 1/4th fresh lime + Fish/ Egg/ Veg. Curry (1/2 cup)
3,Evening (4:00-4:30PM),1 cup Green tea + Roasted Rice flakes n grated coconut (1/3 cup)
4,Dinner (8:00-8:30PM),2-3 Chapati + Veg./ Fish Curry (1/2 cup) + Fried Beetroot (1/3 cup)
5,Monday,
6,Breakfast (8:00-8:30AM),Egg Poach n Toast (3 slices) + Milk (1 cup) + 4 Almonds + 3 Cashew nuts
7,Mid-Meal (11:00-11:30AM),1 Orange + 1 Guava
8,Lunch (2:00-2:30PM),2 Chapati + Mixed Daal (1/2 cup) + 1/4th Fresh lime + Potato n Drumstick curry (1/2 cup) + Fried Fish (1pc)
9,Evening (4:00-4:30PM),1 cup Green tea + Roasted Rice flakes n grated coconut (1/3 cup)
10,Dinner (8:00-8:30PM),2-3 Chapati + Veg./ Fish Curry (1/2 cup) + Fried Beetroot (1/3 cup)
11,Tuesday,
12,Breakfast (8:00-8:30AM),"Vegetable soup (carrot, garlic, spring onions, broccoli, corns) 1 cup + Toast (2 slices) + 4 Almonds + 3 Cashew nuts"
13,Mid-Meal (11:00-11:30AM),1 Orange + Pomegranate (1/2 cup)
14,Lunch (2:00-2:30PM),Parboiled Rice (1 cup) + Rajma (1/2 cup) + Fried Joseph's coat leaves (1/4th cup) + 1/4th fresh lime + Fish/ Egg/ Veg. Curry (1/2 cup)
15,Evening (4:00-4:30PM),1 cup Green tea + Roasted Rice flakes n grated coconut (1/3 cup)
16,Dinner (8:00-8:30PM),2-3 Chapati + Veg./ Fish Curry (1/2 cup) + Fried Beetroot (1/3 cup)
17,Wednesday,
18,Breakfast (8:00-8:30AM),Spinach Uthappam (2) + Milk (1 cup) + 4 Almonds + 3 Cashew nuts
19,Mid-Meal (11:00-11:30AM),1 Orange + Grapes (1 cup)
20,Lunch (2:00-2:30PM),2 Chapati + Bengal gram Daal (1/2 cup) + 1/4th Fresh lime + Fried Joseph's coat leaves (1/4th cup) + Paneer/ Soy bean Curry (1/2 cup)
21,Evening (4:00-4:30PM),1 cup Green tea + Roasted Rice flakes n grated coconut (1/3 cup)
22,Dinner (8:00-8:30PM),2-3 Chapati + Veg./ Fish Curry (1/2 cup) + Fried Beetroot (1/3 cup)
23,Thursday,
24,Breakfast (8:00-8:30AM),Brown bread (3 slices) + Milk n Banana shake (1 cup) + 4 Almonds + 3 Cashew nuts
25,Mid-Meal (11:00-11:30AM),1 Orange + Pomegranate (1/2 cup)
26,Lunch (2:00-2:30PM),Parboiled Rice (1 cup) + Rajma (1/2 cup) + Fried Joseph's coat leaves (1/4th cup) + 1/4th fresh lime + Fish/ Egg/ Veg. Curry (1/2 cup)
27,Evening (4:00-4:30PM),1 cup Green tea + Roasted Rice flakes n grated coconut (1/3 cup)
28,Dinner (8:00-8:30PM),2-3 Chapati + Veg./ Fish Curry (1/2 cup) + Fried Beetroot (1/3 cup)
29,Friday,
30,Breakfast (8:00-8:30AM),Egg Poach n Toast (3 slices) + Milk (1 cup) + 4 Almonds + 3 Cashew nuts
31,Mid-Meal (11:00-11:30AM),1 Orange + 1 Guava
32,Lunch (2:00-2:30PM),2 Chapati + Mixed Daal (1/2 cup) + 1/4th Fresh lime + Potato n Drumstick curry (1/2 cup) + Fried Fish (1pc)
33,Evening (4:00-4:30PM),1 cup Green tea + Roasted Rice flakes n grated coconut (1/3 cup)
34,Dinner (8:00-8:30PM),2-3 Chapati + Veg./ Fish Curry (1/2 cup) + Fried Beetroot (1/3 cup)
35,Saturday,
36,Breakfast (8:00-8:30AM),Spinach Uthappam (2) + Milk (1 cup) + 4 Almonds + 3 Cashew nuts
37,Mid-Meal (11:00-11:30AM),1 Orange + Pomegranate (1/2 cup)
38,Lunch (2:00-2:30PM),Parboiled Rice (1 cup) + Daal (1/2 cup) + Fried Joseph's coat leaves (1/4th cup) + 1/4th fresh lime + Fish/ Egg/ Veg. Curry (1/2 cup)
39,Evening (4:00-4:30PM),1 cup Green tea + Roasted Rice flakes n grated coconut (1/3 cup)
40,Dinner (8:00-8:30PM),2-3 Chapati + Veg./ Fish Curry (1/2 cup) + Fried Beetroot (1/3 cup)
